Quantify Compound Summary Report 

Printed Mon Mar 17 08:47:11 2025

Compound 1:  6-hydroxiflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	4.24	10852.617		531.89
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	4.24	10624.841		520.90
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	4.24	10146.751		497.84
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	4.24	9686.595		475.64
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	4.24	9324.911		458.20
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	4.24	13970.813		682.30
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	4.24	13781.828		673.18
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 18:  taxifolin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.90	54.419	75.000	59.23
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.90	139.332	125.000	92.54
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.90	448.651	250.000	213.86
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.90	1166.090	500.000	495.26
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	1.93	2042.732	750.000	839.11
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	1.90	1429.953		598.76
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	1.90	1457.228		609.46
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	1.90	1365.535		573.49
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	1.90	1244.388		525.97
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	1.90	1239.002		523.86
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	1.90	2210.955		905.09
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	1.90	2226.395		911.15
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 19:  neobavaisoflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	4.88	151.467	7.000	5.13
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	4.88	440.902	15.000	13.42
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	4.88	1154.706	30.000	33.87
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	4.87	2407.341	75.000	69.75
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	4.87	4954.778	125.000	142.73
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	4.87	9792.577	250.000	281.31
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	4.88	16970.033	500.000	486.92
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.89	25066.918	750.000	718.86
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	4.88	18487.422		530.38
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	4.88	17974.318		515.69
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	4.87	17373.080		498.46
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	4.88	16514.631		473.87
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	4.88	16182.600		464.36
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	4.87	21821.988		625.91
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	4.88	21272.105		610.15
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 20:  bavachin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	5.09	322.102	7.000	3.75
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	5.08	792.296	15.000	15.91
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	5.08	1719.495	30.000	39.88
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	5.08	3571.226	75.000	87.76
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	5.08	6820.748	125.000	171.78
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	5.08	13190.952	250.000	336.49
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	5.08	21929.670	500.000	562.44
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	5.10	20829.221	750.000	533.98
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 21:  mirificin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	1.22	88.930	30.000	28.46
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.22	199.570	75.000	48.98
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.22	539.110	125.000	111.94
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.22	1341.825	250.000	260.79
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.23	2799.650	500.000	531.11
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	1.23	3973.219	750.000	748.73
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	1.22	8801.052		1643.95
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	1.22	8369.158		1563.86
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	1.23	8106.898		1515.23
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	1.22	7325.313		1370.30
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	1.22	5697.134		1068.39
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	1.22	10088.987		1882.77
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	1.22	9815.266		1832.01
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 22:  amentoflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.89	248.328	75.000	53.45
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.90	717.625	125.000	95.56
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.89	2454.092	250.000	251.37
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.89	5821.615	500.000	553.52
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.91	7967.968	750.000	746.11
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	3.89	16397.947		1502.50
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	3.89	15194.006		1394.47
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	3.89	14939.079		1371.60
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	3.88	14262.587		1310.90
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	3.88	14005.802		1287.86
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.89	21359.391		1947.67
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.88	21140.641		1928.05
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 23:  silibinin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			10.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	3.28	626.005	20.000	14.41
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	3.28	1725.765	41.000	43.52
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.28	3572.831	81.000	92.42
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.28	7198.317	161.000	188.41
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.28	13122.800	312.000	345.26
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.28	22439.619	625.000	591.92
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.30	34230.199	940.000	904.07
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	3.28	44913.605		1186.91
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	3.28	43063.973		1137.94
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	3.28	42131.922		1113.27
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	3.28	40121.707		1060.05
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	3.28	38864.742		1026.77
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.28	58937.867		1558.20
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.28	56205.832		1485.87
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 24:  jaceosidin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.55	75.401	75.000	60.33
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.55	182.385	125.000	119.58
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.55	375.770	250.000	226.68
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.55	941.951	500.000	540.23
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	1.56	1326.479	750.000	753.19
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 25:  rhoifolin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	2.15	96.707	30.000	28.30
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	2.15	269.326	75.000	50.82
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	2.15	669.256	125.000	103.00
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	2.15	1675.713	250.000	234.30
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	2.15	3828.907	500.000	515.20
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	2.16	5999.641	750.000	798.39
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

