Quantify Compound Summary Report 

Printed Mon Mar 17 08:56:34 2025

Compound 1:  6-hydroxiflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte	0.12	182.685		663.79
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte	0.13	180.775		655.77
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte	0.13	164.016		585.44
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte	0.13	172.009		618.98
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 19:  neobavaisoflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.13	71.476	30.000	23.86
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.13	131.955	62.000	69.05
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	241.082	125.000	150.58
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.13	372.789	250.000	248.97
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.13	608.072	500.000	424.75
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.13	1007.374	750.000	723.07
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.13	1480.723	1000.000	1076.71
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte	0.13	716.491		505.75
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte	0.13	695.363		489.97
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte	0.13	727.976		514.33
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte	0.13	734.066		518.88
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte	0.12	714.504		504.27
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte	0.13	790.997		561.42
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte	0.13	784.497		556.56
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte	0.13	54.521		11.20

Compound 20:  bavachin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.15	26.738	30.000	40.72
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.14	40.354	62.000	50.22
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.12	116.739	125.000	103.51
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.13	314.902	250.000	241.75
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.13	677.876	500.000	494.98
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.12	1094.790	750.000	785.83
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard			1000.000	
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte				
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte				
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte				
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte				
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte				
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte				
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte				
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 21:  mirificin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.13	15.342	30.000	27.93
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.12	34.338	62.000	64.21
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	66.900	125.000	126.41
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.12	133.191	250.000	253.03
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.12	270.804	500.000	515.89
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.12	391.107	750.000	745.68
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.13	515.790	1000.000	983.84
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte	0.12	557.745		1063.98
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte	0.12	555.772		1060.21
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte	0.12	555.293		1059.29
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte	0.12	579.982		1106.45
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte	0.12	581.932		1110.18
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte	0.13	551.650		1052.34
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte	0.12	557.308		1063.14
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 22:  amentoflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard			30.000	
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.14	50.204	62.000	48.96
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	124.574	125.000	137.92
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.13	236.332	250.000	271.60
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.14	477.041	500.000	559.54
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.13	592.432	750.000	697.57
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.13	821.347	1000.000	971.40
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte	0.13	899.198		1064.53
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte	0.13	942.571		1116.41
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte	0.13	957.291		1134.02
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte	0.13	958.714		1135.72
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte	0.13	981.280		1162.72
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte	0.13	1205.143		1430.50
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte	0.13	1149.866		1364.38
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 23:  silibinin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.12	82.636	41.000	22.92
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.12	196.115	81.000	86.84
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.12	400.603	161.000	202.02
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.12	693.649	312.000	367.09
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.12	1203.328	625.000	654.18
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.12	1584.023	940.000	868.61
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.13	2187.152	1250.000	1208.34
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte	0.12	71.875		16.86
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte	0.12	63.463		12.12
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte	0.12	2085.604		1151.14
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte	0.13	2126.746		1174.31
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte	0.12	2188.967		1209.36
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte	0.12	2089.611		1153.39
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte	0.12	2018.057		1113.09
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte	0.13	2105.498		1162.34
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte	0.13	2050.471		1131.35
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte	0.13	90.392		27.29

Compound 24:  jaceosidin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard			30.000	
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard			62.000	
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard			125.000	
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard			250.000	
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard			500.000	
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard			750.000	
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard			1000.000	
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte				
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte				
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte				
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte				
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte				
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte				
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte				
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 25:  rhoifolin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.14	10.667	30.000	28.40
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.13	14.670	62.000	62.12
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	23.788	125.000	138.92
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.12	34.971	250.000	233.11
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.14	66.021	500.000	494.65
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.12	99.339	750.000	775.28
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.12	124.179	1000.000	984.51
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte				
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte				
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte				
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte				
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte				
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte				
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte				
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

